County;Site;parnr;Lupin;Achillea millefolium;Achillea ptarmica;Aegopodium podagraria;Aethusa cynapium;Alchemilla vulgaris;Anemone nemorosa;Angelica sylvestris;Anthriscus sylvestris;Anthyllis vulneraria;Argentina anserina;Athyrium filix-femina;Bunias orientalis;Calluna vulgaris;Campanula patula;Campanula persicifolia;Campanula rotundifolia;Carex flacca;Carex flava;Carex leporina;Carex pallescens;Centaurea jacea;Cerastium fontanum;Chamaenerion angustifolium;Cirsium arvense;Cirsium heterophyllum;Cirsium palustre;Convallaria majalis;Cota tinctoria;Daucus carota subsp. carota;Dianthus deltoides;Equisetum;Equisetum arvense;Equisetum sylvaticum;Erigeron acris;Euphrasia nemorosa;Filipendula ulmaria;Fragaria vesca;Galium boreale;Galium uliginosum;Galium verum;Gallium mollugo;Geranium sylvaticum;Geum rivale;Geum urbanum;Glebionis segetum;Hieracium sect. Bifida;Hieracium sect. Hieracium agg.;Hieracium sect. Tridentata;Hieracium sect. Vulgata;Hieracium umbellatum;Hypericum maculatum;Hypericum perforatum;Juncus conglomeratus;Juncus effusus;Knautia arvensis;Lapsana communis;Lathyrus linifolius;Lathyrus pratensis;Leucanthemum vulgare;Linaria vulgaris;Lotus corniculatus;Lupinus polyphyllus;Luzula multiflora;Luzula pallescens;Luzula pilosa;Lychnis flos-cuculi;Maianthemum bifolium;Melampyrum sylvaticum;Moehringia trinervia;Myosotis arvensis;Myosotis scorpioides;Noccaea caerulescens;Paris quadrifolia;Pilosella cymosa;Pilosella officinarum;Pimpinella saxifraga;Plantago lanceolata;Plantago major;Potentilla argentea;Potentilla erecta;Potentilla reptans;Primula veris;Prunella vulgaris;Ranunculus acris subsp. acris;Ranunculus repens;Rhinanthus minor;Rubus arcticus;Rubus fruticosus;Rubus idaeus;Rubus saxatilis;Rumex acetosa;Rumex acetosella;Rumex longifolius;Sagina procumbens;Sagina revelierei;Scleranthus perennis;Scorzoneroides autumnalis;Silene vulgaris;Solidago canadensis;Solidago virgaurea;Sonchus oleraceus;Stachys palustris;Stellaria graminea;Stellaria longifolia;Succisa pratensis;Taraxacum;Tragopogon pratensis;Trifolium aureoum;Trifolium hybridum;Trifolium medium;Trifolium pratense;Trifolium repens;Trifolium spadiceum;Tripleurospermum inodorum;Tussilago farfara;Urtica dioica;Vaccinium myrtillus;Vaccinium uliginosum;Vaccinium vitis-idaea;Verbascum nigrum;Veronica arvensis;Veronica beccabunga;Veronica chamaedrys;Veronica officinalis;Vicia cracca;Vicia sepium;Vicia tetrasperma;Viola canina;Viola riviniana
Uppsala;Kölnbacken;2;No;7;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Uppsala;Kölnbacken;2;Yes;2;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Uppsala;Lilla harnevi;2;No;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;3;0;0
Uppsala;Lilla harnevi;2;Yes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;1;0;1;0;0
Uppsala;Odensfors;2;No;0;0;0;0;16;4;0;0;0;0;2;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;4;0;0;11;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;14;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;0;0;2;0;0;0;0;9;0;0;0;0;0;0;0;4;1;0;0;0;0;0
Uppsala;Odensfors;2;Yes;2;0;0;0;8;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;16;0;0;0;0;1;0;0;0;0;0;2;1;0;0;0;0;0;1;0;0;0;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;12;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;6
Uppsala;Ransta;1;No;16;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;9;0;0;0;0;8;0;0;0;12;0;0;4;0;0;0;4;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;10;0;0;0;2;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0
Uppsala;Ransta;1;Yes;14;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;5;0;0;0;0;0;0;0;0;0;2;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2
Uppsala;Rödmossa;1;No;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;9;0;0;0;0;0;0;0;12;6;0;0;0;0;1;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;6;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;10;0;0;16;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Uppsala;Rödmossa;1;Yes;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;1;0;10;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;15;0;0;9;15;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Uppsala;Solbo;2;No;16;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;6;0;0;0;4;0;0;0;7;0;0;0;0;1;0;0;0;9;1;0;0;0;0;0;0;0;6;0;8;0;0;0;0;0;0;0;0;0;0;0;0;15;2;0;0;0;0;0;0;0;2;0;5;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;1;0;5;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Uppsala;Solbo;2;Yes;4;0;0;0;0;0;0;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0;7;0;0;10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Uppsala;Österunda2;1;No;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;8;0;4;0;0;0;0;0;0;0;8;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;1;0;0;1;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;1;1;0;0;9;1;0;3;0;8;0;0;0;0;0;0;7;3;0;0;4;0;0;0;0
Uppsala;Österunda2;1;Yes;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;2;4;0;0;6;0;5;0;0;0;0;0;0;0;7;14;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;16;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;3;0;0;4;2;0;4;0;7;0;0;0;0;0;0;5;3;0;0;6;0;0;0;0
Värmland;Bergsviken/Älvsbacka;1;No;0;0;3;0;3;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
Värmland;Bergsviken/Älvsbacka;1;Yes;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Värmland;Flugbohöjden/Ettala;1;No;7;0;0;0;5;0;0;0;0;4;0;0;5;0;5;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;15;12;0;2;0;10;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;8;4;9;4;5;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Värmland;Flugbohöjden/Ettala;1;Yes;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Värmland;Gersbysäter/Gersby;1;No;4;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;13;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;4;0;5;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;5;2
Värmland;Gersbysäter/Gersby;1;Yes;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;13;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Värmland;Häggstöd/Nyeds-Backa;2;No;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;1;0;0;0;0;0;8;0;0;4;1;0;0;0;0;0;0;0;9;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;5;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0
Värmland;Häggstöd/Nyeds-Backa;2;Yes;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0
Värmland;Jonsbol;1;No;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;12;0;0;0;1;0;0;6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6;4;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0
Värmland;Jonsbol;1;Yes;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0;0;0;0;2;0;2;15;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Värmland;Manhem/Asphyttan;2;No;7;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;2;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;16;0;0;0;0;0;1;0;0;0;2
Värmland;Manhem/Asphyttan;2;Yes;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8;1;0;0;16;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;3;0;0;0;0
Värmland;Nordsjö;1;No;11;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;3;0;2;0;0;0;0;0;0;0;0;3;1;0;0;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;3;0;0;0;0
Värmland;Nordsjö;1;Yes;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Värmland;Nykroppa Herrhult;1;No;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;7;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0
Värmland;Nykroppa Herrhult;1;Yes;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Värmland;Rämmen-Haget;1;No;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;8;0;0;1;10;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3;0;0;0;5;0
